State,State_Short,Total,Number,Percent
Alabama,AL,4779,844,17.7
Alaska,AK,696,72,10.3
Arizona,AZ,6589,1254,19.0
Arkansas,AR,2896,450,15.5
California,CA,38131,5715,15.0
Colorado,CO,5296,565,10.7
Connecticut,CT,3591,398,11.1
Delaware,DE,910,115,12.6
District of Columbia,DC,649,145,22.3
Florida,FL,19417,2885,14.9
Georgia,GA,9818,1709,17.4
Hawaii,HI,1353,147,10.9
Idaho,ID,1601,203,12.7
Illinois,IL,12717,1708,13.4
Indiana,IN,6478,913,14.1
Iowa,IA,3071,368,12.0
Kansas,KS,2795,344,12.3
Kentucky,KY,4431,931,21.0
Louisiana,LA,4519,913,20.2
Maine,ME,1320,156,11.8
Maryland,MD,5940,617,10.4
Massachusetts,MA,6653,801,12.0
Michigan,MI,9957,1353,13.6
Minnesota,MN,5374,619,11.5
Mississippi,MS,2907,606,20.8
Missouri,MO,5976,933,15.6
Montana,MT,989,124,12.5
Nebraska,NE,1853,199,10.7
Nevada,NV,2767,441,15.9
New Hampshire,NH,1309,95,7.3
New Jersey,NJ,8785,923,10.5
New Mexico,NM,2089,495,23.7
New York,NY,19412,3081,15.9
North Carolina,NC,9646,1606,16.6
North Dakota,ND,714,83,11.6
Ohio,OH,11374,1628,14.3
Oklahoma,OK,3703,652,17.6
Oregon,OR,3952,575,14.5
Pennsylvania,PA,12771,1504,11.8
Rhode Island,RI,1040,119,11.4
South Carolina,SC,4678,825,17.6
South Dakota,SD,830,98,11.8
Tennessee,TN,6363,1071,16.8
Texas,TX,26292,4424,16.8
Utah,UT,2900,298,10.3
Vermont,VT,624,49,7.9
Virginia,VA,8202,830,10.1
Washington,WA,6866,828,12.1
West Virginia,WV,1814,337,18.6
Wisconsin,WI,5620,687,12.2
Wyoming,WY,585,68,11.6
