State,State_Short,Year,Total,Number,Percent
Alabama,AL,2016,4821,782,16.2
Alaska,AK,2016,708,89,12.6
Arizona,AZ,2016,6878,1108,16.1
Arkansas,AR,2016,2941,471,16
California,CA,2016,39143,5435,13.9
Colorado,CO,2016,5502,467,8.5
Connecticut,CT,2016,3567,351,9.8
Delaware,DE,2016,947,110,11.6
District of Columbia,DC,2016,685,112,16.3
Florida,FL,2016,20524,2659,13
Georgia,GA,2016,10270,1580,15.4
Hawaii,HI,2016,1392,129,9.3
Idaho,ID,2016,1679,187,11.1
Illinois,IL,2016,12583,1517,12.1
Indiana,IN,2016,6493,768,11.8
Iowa,IA,2016,3099,302,9.8
Kansas,KS,2016,2859,321,11.2
Kentucky,KY,2016,4383,667,15.2
Louisiana,LA,2016,4573,923,20.2
Maine,ME,2016,1317,167,12.7
Maryland,MD,2016,5930,424,7.1
Massachusetts,MA,2016,6775,649,9.6
Michigan,MI,2016,9875,1091,11.1
Minnesota,MN,2016,5430,470,8.7
Mississippi,MS,2016,2943,622,21.1
Missouri,MO,2016,5878,762,13
Montana,MT,2016,1031,121,11.7
Nebraska,NE,2016,1870,179,9.6
Nevada,NV,2016,2941,298,10.1
New Hampshire,NH,2016,1316,84,6.4
New Jersey,NJ,2016,8836,828,9.4
New Mexico,NM,2016,2043,364,17.8
New York,NY,2016,19459,2314,11.9
North Carolina,NC,2016,10056,1363,13.6
North Dakota,ND,2016,749,83,11.1
Ohio,OH,2016,11442,1573,13.7
Oklahoma,OK,2016,3911,571,14.6
Oregon,OR,2016,4124,486,11.8
Pennsylvania,PA,2016,12526,1396,11.1
Rhode Island,RI,2016,1052,119,11.4
South Carolina,SC,2016,4898,690,14.1
South Dakota,SD,2016,855,124,14.5
Tennessee,TN,2016,6652,988,14.9
Texas,TX,2016,27662,3812,13.8
Utah,UT,2016,3077,264,8.6
Vermont,VT,2016,622,60,9.6
Virginia,VA,2016,8163,929,11.4
Washington,WA,2016,7289,800,11
West Virginia,WV,2016,1808,326,18
Wisconsin,WI,2016,5764,620,10.7
Wyoming,WY,2016,571,62,10.9
Alabama,AL,2015,4820,784,16.3
Alaska,AK,2015,703,65,9.2
Arizona,AZ,2015,6728,1156,17.2
Arkansas,AR,2015,2951,475,16.1
California,CA,2015,39081,5441,13.9
Colorado,CO,2015,5420,538,9.9
Connecticut,CT,2015,3572,324,9.1
Delaware,DE,2015,958,106,11.1
District of Columbia,DC,2015,676,113,16.6
Florida,FL,2015,20071,3253,16.2
Georgia,GA,2015,10100,1833,18.1
Hawaii,HI,2015,1382,151,10.9
Idaho,ID,2015,1657,204,12.3
Illinois,IL,2015,12683,1380,10.9
Indiana,IN,2015,6502,880,13.5
Iowa,IA,2015,3100,321,10.4
Kansas,KS,2015,2849,404,14.2
Kentucky,KY,2015,4365,851,19.5
Louisiana,LA,2015,4599,854,18.6
Maine,ME,2015,1340,165,12.3
Maryland,MD,2015,5892,566,9.6
Massachusetts,MA,2015,6777,782,11.5
Michigan,MI,2015,9852,1259,12.8
Minnesota,MN,2015,5458,428,7.8
Mississippi,MS,2015,2947,563,19.1
Missouri,MO,2015,5946,582,9.8
Montana,MT,2015,1018,121,11.9
Nebraska,NE,2015,1858,192,10.3
Nevada,NV,2015,2864,371,13
New Hampshire,NH,2015,1293,94,7.3
New Jersey,NJ,2015,8936,1004,11.2
New Mexico,NM,2015,2036,400,19.7
New York,NY,2015,19645,2791,14.2
North Carolina,NC,2015,9887,1509,15.3
North Dakota,ND,2015,763,82,10.7
Ohio,OH,2015,11435,1550,13.6
Oklahoma,OK,2015,3887,551,14.2
Oregon,OR,2015,4029,478,11.9
Pennsylvania,PA,2015,12564,1542,12.3
Rhode Island,RI,2015,1044,123,11.8
South Carolina,SC,2015,4790,683,14.3
South Dakota,SD,2015,848,118,13.9
Tennessee,TN,2015,6605,973,14.7
Texas,TX,2015,27396,4036,14.7
Utah,UT,2015,3004,279,9.3
Vermont,VT,2015,609,65,10.7
Virginia,VA,2015,8216,894,10.9
Washington,WA,2015,7193,819,11.4
West Virginia,WV,2015,1795,261,14.5
Wisconsin,WI,2015,5736,654,11.4
Wyoming,WY,2015,574,56,9.8
Alabama,AL,2014,4765,848,17.8
Alaska,AK,2014,694,82,11.9
Arizona,AZ,2014,6657,1409,21.2
Arkansas,AR,2014,2891,532,18.4
California,CA,2014,38666,6112,15.8
Colorado,CO,2014,5376,661,12.3
Connecticut,CT,2014,3577,308,8.6
Delaware,DE,2014,929,103,11
District of Columbia,DC,2014,657,125,19
Florida,FL,2014,19694,3282,16.7
Georgia,GA,2014,9948,1676,16.8
Hawaii,HI,2014,1365,147,10.8
Idaho,ID,2014,1606,199,12.4
Illinois,IL,2014,12774,1756,13.7
Indiana,IN,2014,6470,948,14.6
Iowa,IA,2014,3078,317,10.3
Kansas,KS,2014,2851,345,12.1
Kentucky,KY,2014,4299,861,20
Louisiana,LA,2014,4550,1049,23.1
Maine,ME,2014,1300,190,14.6
Maryland,MD,2014,5934,584,9.8
Massachusetts,MA,2014,6653,902,13.6
Michigan,MI,2014,9893,1462,14.8
Minnesota,MN,2014,5417,447,8.3
Mississippi,MS,2014,2961,654,22.1
Missouri,MO,2014,5950,620,10.4
Montana,MT,2014,1008,121,12
Nebraska,NE,2014,1873,221,11.8
Nevada,NV,2014,2819,478,17
New Hampshire,NH,2014,1318,95,7.2
New Jersey,NJ,2014,8938,1013,11.3
New Mexico,NM,2014,2030,406,20
New York,NY,2014,19658,2755,14
North Carolina,NC,2014,9823,1678,17.1
North Dakota,ND,2014,731,71,9.7
Ohio,OH,2014,11505,1792,15.6
Oklahoma,OK,2014,3728,647,17.3
Oregon,OR,2014,3955,570,14.4
Pennsylvania,PA,2014,12620,1581,12.5
Rhode Island,RI,2014,1046,119,11.3
South Carolina,SC,2014,4764,788,16.5
South Dakota,SD,2014,846,109,12.8
Tennessee,TN,2014,6496,1122,17.3
Texas,TX,2014,26676,4364,16.4
Utah,UT,2014,2928,298,10.2
Vermont,VT,2014,615,57,9.3
Virginia,VA,2014,8257,842,10.2
Washington,WA,2014,7079,852,12
West Virginia,WV,2014,1822,376,20.6
Wisconsin,WI,2014,5742,628,10.9
Wyoming,WY,2014,572,55,9.7
Alabama,AL,2013,4779,844,17.7
Alaska,AK,2013,696,72,10.3
Arizona,AZ,2013,6589,1254,19
Arkansas,AR,2013,2896,450,15.5
California,CA,2013,38131,5715,15
Colorado,CO,2013,5296,565,10.7
Connecticut,CT,2013,3591,398,11.1
Delaware,DE,2013,910,115,12.6
District of Columbia,DC,2013,649,145,22.3
Florida,FL,2013,19417,2885,14.9
Georgia,GA,2013,9818,1709,17.4
Hawaii,HI,2013,1353,147,10.9
Idaho,ID,2013,1601,203,12.7
Illinois,IL,2013,12717,1708,13.4
Indiana,IN,2013,6478,913,14.1
Iowa,IA,2013,3071,368,12
Kansas,KS,2013,2795,344,12.3
Kentucky,KY,2013,4431,931,21
Louisiana,LA,2013,4519,913,20.2
Maine,ME,2013,1320,156,11.8
Maryland,MD,2013,5940,617,10.4
Massachusetts,MA,2013,6653,801,12
Michigan,MI,2013,9957,1353,13.6
Minnesota,MN,2013,5374,619,11.5
Mississippi,MS,2013,2907,606,20.8
Missouri,MO,2013,5976,933,15.6
Montana,MT,2013,989,124,12.5
Nebraska,NE,2013,1853,199,10.7
Nevada,NV,2013,2767,441,15.9
New Hampshire,NH,2013,1309,95,7.3
New Jersey,NJ,2013,8785,923,10.5
New Mexico,NM,2013,2089,495,23.7
New York,NY,2013,19412,3081,15.9
North Carolina,NC,2013,9646,1606,16.6
North Dakota,ND,2013,714,83,11.6
Ohio,OH,2013,11374,1628,14.3
Oklahoma,OK,2013,3703,652,17.6
Oregon,OR,2013,3952,575,14.5
Pennsylvania,PA,2013,12771,1504,11.8
Rhode Island,RI,2013,1040,119,11.4
South Carolina,SC,2013,4678,825,17.6
South Dakota,SD,2013,830,98,11.8
Tennessee,TN,2013,6363,1071,16.8
Texas,TX,2013,26292,4424,16.8
Utah,UT,2013,2900,298,10.3
Vermont,VT,2013,624,49,7.9
Virginia,VA,2013,8202,830,10.1
Washington,WA,2013,6866,828,12.1
West Virginia,WV,2013,1814,337,18.6
Wisconsin,WI,2013,5620,687,12.2
Wyoming,WY,2013,585,68,11.6
Alabama,AL,2012,4808,777,16.2
Alaska,AK,2012,702,70,10
Arizona,AZ,2012,6642,1260,19
Arkansas,AR,2012,2909,584,20.1
California,CA,2012,37912,6015,15.9
Colorado,CO,2012,5153,613,11.9
Connecticut,CT,2012,3517,363,10.3
Delaware,DE,2012,900,121,13.5
D.C.,DC,2012,632,116,18.4
Florida,FL,2012,19166,2926,15.3
Georgia,GA,2012,9665,1752,18.1
Hawaii,HI,2012,1356,188,13.8
Idaho,ID,2012,1588,229,14.4
Illinois,IL,2012,12727,1608,12.6
Indiana,IN,2012,6343,964,15.2
Iowa,IA,2012,3010,310,10.3
Kansas,KS,2012,2828,397,14
Kentucky,KY,2012,4342,776,17.9
Louisiana,LA,2012,4465,944,21.1
Maine,ME,2012,1330,170,12.8
Maryland,MD,2012,5892,585,9.9
Massachusetts,MA,2012,6566,743,11.3
Michigan,MI,2012,9731,1331,13.7
Minnesota,MN,2012,5353,534,10
Mississippi,MS,2012,2893,636,22
Missouri,MO,2012,5956,905,15.2
Montana,MT,2012,999,134,13.4
Nebraska,NE,2012,1849,226,12.2
Nevada,NV,2012,2735,433,15.8
New Hampshire,NH,2012,1308,106,8.1
New Jersey,NJ,2012,8720,814,9.3
New Mexico,NM,2012,2064,420,20.4
New York,NY,2012,19298,3328,17.2
North Carolina,NC,2012,9634,1652,17.2
North Dakota,ND,2012,692,79,11.4
Ohio,OH,2012,11398,1751,15.4
Oklahoma,OK,2012,3700,668,18
Oregon,OR,2012,3872,523,13.5
Pennsylvania,PA,2012,12664,1756,13.9
Rhode Island,RI,2012,1034,141,13.6
South Carolina,SC,2012,4667,779,16.7
South Dakota,SD,2012,822,106,12.8
Tennessee,TN,2012,6422,1194,18.6
Texas,TX,2012,26063,4444,17
Utah,UT,2012,2849,312,11
Vermont,VT,2012,615,69,11.2
Virginia,VA,2012,7994,850,10.6
Washington,WA,2012,6856,796,11.6
West Virginia,WV,2012,1803,301,16.7
Wisconsin,WI,2012,5628,640,11.4
Wyoming,WY,2012,577,56,9.6
Alabama,AL,2011,4765,732,15.4
Alaska,AK,2011,712,83,11.7
Arizona,AZ,2011,6547,1128,17.2
Arkansas,AR,2011,2909,545,18.7
California,CA,2011,37592,6352,16.9
Colorado,CO,2011,5016,661,13.2
Connecticut,CT,2011,3514,356,10.1
Delaware,DE,2011,902,123,13.7
D.C.,DC,2011,619,123,19.9
Florida,FL,2011,18986,2822,14.9
Georgia,GA,2011,9681,1783,18.4
Hawaii,HI,2011,1337,162,12.1
Idaho,ID,2011,1574,248,15.7
Illinois,IL,2011,12697,1807,14.2
Indiana,IN,2011,6344,989,15.6
Iowa,IA,2011,3027,315,10.4
Kansas,KS,2011,2807,402,14.3
Kentucky,KY,2011,4302,689,16
Louisiana,LA,2011,4494,947,21.1
Maine,ME,2011,1328,178,13.4
Maryland,MD,2011,5806,537,9.3
Massachusetts,MA,2011,6514,688,10.6
Michigan,MI,2011,9689,1449,15
Minnesota,MN,2011,5276,528,10
Mississippi,MS,2011,2932,510,17.4
Missouri,MO,2011,5892,910,15.4
Montana,MT,2011,986,163,16.5
Nebraska,NE,2011,1823,187,10.2
Nevada,NV,2011,2682,414,15.5
New Hampshire,NH,2011,1300,99,7.6
New Jersey,NJ,2011,8642,988,11.4
New Mexico,NM,2011,2037,451,22.2
New York,NY,2011,19329,3085,16
North Carolina,NC,2011,9504,1459,15.4
North Dakota,ND,2011,675,67,9.9
Ohio,OH,2011,11309,1708,15.1
Oklahoma,OK,2011,3763,522,13.9
Oregon,OR,2011,3850,553,14.4
Pennsylvania,PA,2011,12697,1604,12.6
Rhode Island,RI,2011,1038,139,13.4
South Carolina,SC,2011,4605,874,19
South Dakota,SD,2011,808,117,14.5
Tennessee,TN,2011,6324,1030,16.3
Texas,TX,2011,25554,4458,17.4
Utah,UT,2011,2812,309,11
Vermont,VT,2011,615,71,11.6
Virginia,VA,2011,7971,907,11.4
Washington,WA,2011,6812,854,12.5
West Virginia,WV,2011,1820,318,17.5
Wisconsin,WI,2011,5676,743,13.1
Wyoming,WY,2011,562,60,10.7
Alabama,AL,2010,4717,812,17.2
Alaska,AK,2010,695,87,12.5
Arizona,AZ,2010,6426,1208,18.8
Arkansas,AR,2010,2879,440,15.3
California,CA,2010,37240,6073,16.3
Colorado,CO,2010,4995,615,12.3
Connecticut,CT,2010,3541,303,8.6
Delaware,DE,2010,890,109,12.2
D.C.,DC,2010,604,118,19.5
Florida,FL,2010,18759,3006,16
Georgia,GA,2010,9650,1814,18.8
Hawaii,HI,2010,1311,162,12.4
Idaho,ID,2010,1543,213,13.8
Illinois,IL,2010,12784,1798,14.1
Indiana,IN,2010,6390,1041,16.3
Iowa,IA,2010,2977,307,10.3
Kansas,KS,2010,2766,400,14.5
Kentucky,KY,2010,4270,754,17.7
Louisiana,LA,2010,4418,949,21.5
Maine,ME,2010,1298,164,12.6
Maryland,MD,2010,5786,628,10.9
Massachusetts,MA,2010,6532,711,10.9
Michigan,MI,2010,9751,1530,15.7
Minnesota,MN,2010,5217,563,10.8
Mississippi,MS,2010,2920,658,22.5
Missouri,MO,2010,5929,890,15
Montana,MT,2010,979,142,14.5
Nebraska,NE,2010,1804,184,10.2
Nevada,NV,2010,2696,446,16.6
New Hampshire,NH,2010,1294,84,6.5
New Jersey,NJ,2010,8733,966,11.1
New Mexico,NM,2010,2033,372,18.3
New York,NY,2010,19116,3062,16
North Carolina,NC,2010,9359,1633,17.4
North Dakota,ND,2010,653,82,12.6
Ohio,OH,2010,11341,1746,15.4
Oklahoma,OK,2010,3697,603,16.3
Oregon,OR,2010,3752,537,14.3
Pennsylvania,PA,2010,12530,1535,12.2
Rhode Island,RI,2010,1042,146,14
South Carolina,SC,2010,4563,773,16.9
South Dakota,SD,2010,799,109,13.6
Tennessee,TN,2010,6315,1052,16.7
Texas,TX,2010,25200,4633,18.4
Utah,UT,2010,2768,278,10
Vermont,VT,2010,624,67,10.8
Virginia,VA,2010,7837,835,10.7
Washington,WA,2010,6713,779,11.6
West Virginia,WV,2010,1816,306,16.8
Wisconsin,WI,2010,5626,567,10.1
Wyoming,WY,2010,550,53,9.6
Alabama,AL,2009,4655,770,16.6
Alaska,AK,2009,688,81,11.7
Arizona,AZ,2009,6508,1381,21.2
Arkansas,AR,2009,2846,538,18.9
California,CA,2009,36742,5638,15.3
Colorado,CO,2009,4969,613,12.3
Connecticut,CT,2009,3472,292,8.4
Delaware,DE,2009,883,109,12.3
D.C.,DC,2009,595,107,17.9
Florida,FL,2009,18385,2676,14.6
Georgia,GA,2009,9657,1775,18.4
Hawaii,HI,2009,1250,156,12.5
Idaho,ID,2009,1524,209,13.7
Illinois,IL,2009,12759,1690,13.2
Indiana,IN,2009,6342,1023,16.1
Iowa,IA,2009,2987,319,10.7
Kansas,KS,2009,2737,374,13.7
Kentucky,KY,2009,4276,727,17
Louisiana,LA,2009,4450,636,14.3
Maine,ME,2009,1297,148,11.4
Maryland,MD,2009,5662,543,9.6
Massachusetts,MA,2009,6623,717,10.8
Michigan,MI,2009,9797,1376,14
Minnesota,MN,2009,5200,576,11.1
Mississippi,MS,2009,2847,658,23.1
Missouri,MO,2009,5963,926,15.5
Montana,MT,2009,971,131,13.5
Nebraska,NE,2009,1778,176,9.9
Nevada,NV,2009,2629,343,13
New Hampshire,NH,2009,1313,103,7.8
New Jersey,NJ,2009,8660,806,9.3
New Mexico,NM,2009,1971,381,19.3
New York,NY,2009,19158,3018,15.8
North Carolina,NC,2009,9336,1576,16.9
North Dakota,ND,2009,632,69,10.9
Ohio,OH,2009,11441,1526,13.3
Oklahoma,OK,2009,3632,468,12.9
Oregon,OR,2009,3821,510,13.4
Pennsylvania,PA,2009,12401,1376,11.1
Rhode Island,RI,2009,1030,134,13
South Carolina,SC,2009,4501,618,13.7
South Dakota,SD,2009,799,113,14.1
Tennessee,TN,2009,6240,1031,16.5
Texas,TX,2009,24632,4262,17.3
Utah,UT,2009,2794,270,9.7
Vermont,VT,2009,617,58,9.4
Virginia,VA,2009,7767,831,10.7
Washington,WA,2009,6697,781,11.7
West Virginia,WV,2009,1801,285,15.8
Wisconsin,WI,2009,5545,599,10.8
Wyoming,WY,2009,540,50,9.2
Alabama,AL,2008,4716,675,14.3
Alaska,AK,2008,672,55,8.2
Arizona,AZ,2008,6529,1172,18
Arkansas,AR,2008,2822,431,15.3
California,CA,2008,36637,5344,14.6
Colorado,CO,2008,4908,541,11
Connecticut,CT,2008,3433,276,8.1
Delaware,DE,2008,861,82,9.6
D.C.,DC,2008,590,98,16.5
Florida,FL,2008,18022,2370,13.1
Georgia,GA,2008,9541,1477,15.5
Hawaii,HI,2008,1255,125,9.9
Idaho,ID,2008,1515,185,12.2
Illinois,IL,2008,12687,1564,12.3
Indiana,IN,2008,6288,901,14.3
Iowa,IA,2008,2986,285,9.5
Kansas,KS,2008,2716,346,12.7
Kentucky,KY,2008,4246,724,17.1
Louisiana,LA,2008,4326,788,18.2
Maine,ME,2008,1317,158,12
Maryland,MD,2008,5528,481,8.7
Massachusetts,MA,2008,6420,727,11.3
Michigan,MI,2008,9806,1273,13
Minnesota,MN,2008,5120,506,9.9
Mississippi,MS,2008,2900,525,18.1
Missouri,MO,2008,5861,780,13.3
Montana,MT,2008,973,125,12.9
Nebraska,NE,2008,1774,188,10.6
Nevada,NV,2008,2581,278,10.8
New Hampshire,NH,2008,1300,91,7
New Jersey,NJ,2008,8515,787,9.2
New Mexico,NM,2008,1977,381,19.3
New York,NY,2008,19309,2734,14.2
North Carolina,NC,2008,9234,1285,13.9
North Dakota,ND,2008,625,74,11.8
Ohio,OH,2008,11386,1557,13.7
Oklahoma,OK,2008,3550,484,13.6
Oregon,OR,2008,3806,403,10.6
Pennsylvania,PA,2008,12178,1335,11
Rhode Island,RI,2008,1042,132,12.7
South Carolina,SC,2008,4462,624,14
South Dakota,SD,2008,794,104,13.1
Tennessee,TN,2008,6163,924,15
Texas,TX,2008,24174,3834,15.9
Utah,UT,2008,2754,209,7.6
Vermont,VT,2008,610,55,9
Virginia,VA,2008,7735,799,10.3
Washington,WA,2008,6526,680,10.4
West Virginia,WV,2008,1796,260,14.5
Wisconsin,WI,2008,5548,544,9.8
Wyoming,WY,2008,529,54,10.1
Alabama,AL,2007,4566,662,14.5
Alaska,AK,2007,675,51,7.6
Arizona,AZ,2007,6365,912,14.3
Arkansas,AR,2007,2803,387,13.8
California,CA,2007,36247,4589,12.7
Colorado,CO,2007,4872,478,9.8
Connecticut,CT,2007,3471,309,8.9
Delaware,DE,2007,861,80,9.3
D.C.,DC,2007,580,104,18
Florida,FL,2007,18044,2250,12.5
Georgia,GA,2007,9486,1294,13.6
Hawaii,HI,2007,1264,94,7.5
Idaho,ID,2007,1501,149,9.9
Illinois,IL,2007,12680,1262,10
Indiana,IN,2007,6258,740,11.8
Iowa,IA,2007,2965,264,8.9
Kansas,KS,2007,2720,319,11.7
Kentucky,KY,2007,4202,653,15.5
Louisiana,LA,2007,4186,673,16.1
Maine,ME,2007,1312,142,10.9
Maryland,MD,2007,5560,491,8.8
Massachusetts,MA,2007,6336,707,11.2
Michigan,MI,2007,9919,1076,10.8
Minnesota,MN,2007,5188,482,9.3
Mississippi,MS,2007,2895,655,22.6
Missouri,MO,2007,5783,742,12.8
Montana,MT,2007,938,122,13
Nebraska,NE,2007,1751,174,9.9
Nevada,NV,2007,2566,250,9.7
New Hampshire,NH,2007,1312,76,5.8
New Jersey,NJ,2007,8548,742,8.7
New Mexico,NM,2007,1941,271,14
New York,NY,2007,19021,2757,14.5
North Carolina,NC,2007,9170,1423,15.5
North Dakota,ND,2007,614,57,9.3
Ohio,OH,2007,11280,1446,12.8
Oklahoma,OK,2007,3551,476,13.4
Oregon,OR,2007,3761,481,12.8
Pennsylvania,PA,2007,12297,1273,10.4
Rhode Island,RI,2007,1042,99,9.5
South Carolina,SC,2007,4380,617,14.1
South Dakota,SD,2007,787,74,9.4
Tennessee,TN,2007,6137,906,14.8
Texas,TX,2007,23653,3903,16.5
Utah,UT,2007,2651,255,9.6
Vermont,VT,2007,613,61,9.9
Virginia,VA,2007,7678,664,8.6
Washington,WA,2007,6503,661,10.2
West Virginia,WV,2007,1793,265,14.8
Wisconsin,WI,2007,5458,601,11
Wyoming,WY,2007,518,56,10.9
Alabama,AL,2006,4532,650,14.3
Alaska,AK,2006,658,58,8.9
Arizona,AZ,2006,6256,902,14.4
Arkansas,AR,2006,2748,487,17.7
California,CA,2006,36160,4427,12.2
Colorado,CO,2006,4797,466,9.7
Connecticut,CT,2006,3457,275,8
Delaware,DE,2006,858,80,9.3
D.C.,DC,2006,569,104,18.3
Florida,FL,2006,18029,2068,11.5
Georgia,GA,2006,9334,1172,12.6
Hawaii,HI,2006,1254,116,9.2
Idaho,ID,2006,1472,141,9.5
Illinois,IL,2006,12633,1338,10.6
Indiana,IN,2006,6334,674,10.6
Iowa,IA,2006,2913,301,10.3
Kansas,KS,2006,2719,349,12.8
Kentucky,KY,2006,4106,690,16.8
Louisiana,LA,2006,4206,713,17
Maine,ME,2006,1313,134,10.2
Maryland,MD,2006,5607,469,8.4
Massachusetts,MA,2006,6324,758,12
Michigan,MI,2006,9953,1323,13.3
Minnesota,MN,2006,5145,422,8.2
Mississippi,MS,2006,2887,596,20.6
Missouri,MO,2006,5797,659,11.4
Montana,MT,2006,930,125,13.5
Nebraska,NE,2006,1765,180,10.2
Nevada,NV,2006,2530,241,9.5
New Hampshire,NH,2006,1308,71,5.4
New Jersey,NJ,2006,8650,762,8.8
New Mexico,NM,2006,1939,328,16.9
New York,NY,2006,19021,2668,14
North Carolina,NC,2006,8847,1225,13.8
North Dakota,ND,2006,615,70,11.4
Ohio,OH,2006,11297,1371,12.1
Oklahoma,OK,2006,3489,531,15.2
Oregon,OR,2006,3705,439,11.8
Pennsylvania,PA,2006,12326,1397,11.3
Rhode Island,RI,2006,1054,110,10.5
South Carolina,SC,2006,4224,474,11.2
South Dakota,SD,2006,770,82,10.7
Tennessee,TN,2006,5916,879,14.9
Texas,TX,2006,23208,3816,16.4
Utah,UT,2006,2536,235,9.3
Vermont,VT,2006,618,48,7.8
Virginia,VA,2006,7532,651,8.6
Washington,WA,2006,6310,502,8
West Virginia,WV,2006,1810,277,15.3
Wisconsin,WI,2006,5471,555,10.1
